City;Work;Price;Salary;Affordability;Hierarchical_Cluster
Amsterdam;1714.0;65.6;49.0;0.7469512195121952;2
Athens;1792.0;53.8;30.4;0.5650557620817844;4
Bogota;2152.0;37.9;11.5;0.3034300791556728;5
Bombay;2052.0;30.3;5.3;0.1749174917491749;5
Brussels;1708.0;73.8;50.5;0.6842818428184282;2
Buenos_Aires;1971.0;56.1;12.5;0.22281639928698752;5
Caracas;2041.0;61.0;10.9;0.17868852459016393;5
Chicago;1924.0;73.9;61.9;0.8376184032476318;3
Copenhagen;1717.0;91.3;62.9;0.6889375684556408;2
Dublin;1759.0;76.0;41.4;0.5447368421052632;2
Dusseldorf;1693.0;78.5;60.2;0.7668789808917198;2
Frankfurt;1650.0;74.5;60.4;0.810738255033557;2
Geneva;1880.0;95.9;90.3;0.9416058394160584;3
Helsinki;1667.0;113.6;66.6;0.5862676056338028;1
Hong_Kong;2375.0;63.8;27.8;0.4357366771159875;5
Houston;1978.0;71.9;46.3;0.6439499304589708;3
Johannesburg;1945.0;51.1;24.0;0.46966731898238745;4
Kuala_Lumpur;2167.0;43.5;9.9;0.22758620689655173;5
Lagos;1786.0;45.2;2.7;0.059734513274336286;4
Lisbon;1742.0;56.2;18.8;0.33451957295373663;4
London;1737.0;84.2;46.2;0.5486935866983373;2
Los_Angeles;2068.0;79.8;65.2;0.8170426065162908;3
Luxembourg;1768.0;71.1;71.1;1.0;2
Madrid;1710.0;93.8;50.0;0.5330490405117271;2
Manila;2268.0;40.0;4.0;0.1;5
Mexico_City;1944.0;49.8;5.7;0.11445783132530121;5
Milan;1773.0;82.0;53.3;0.6499999999999999;2
Montreal;1827.0;72.7;56.3;0.7744154057771664;3
Nairobi;1958.0;45.0;5.8;0.1288888888888889;5
New_York;1942.0;83.3;65.8;0.7899159663865546;3
Nicosia;1825.0;47.9;28.3;0.5908141962421712;4
Oslo;1583.0;115.5;63.7;0.5515151515151515;1
Panama;2078.0;49.2;13.8;0.28048780487804875;5
Paris;1744.0;81.6;45.9;0.5625;2
Rio_de_Janeiro;1749.0;46.3;10.5;0.2267818574514039;4
San_Paulo;1856.0;48.9;11.1;0.22699386503067484;4
Seoul;1842.0;58.3;32.7;0.5608919382504289;4
Singpore;2042.0;64.4;16.1;0.25;5
Stockholm;1805.0;111.3;39.2;0.35220125786163525;1
Sydney;1668.0;70.8;52.1;0.7358757062146893;2
Taipei;2145.0;84.3;34.5;0.4092526690391459;5
Tel_Aviv;2015.0;67.3;27.0;0.4011887072808321;4
Tokyo;1880.0;115.0;68.0;0.591304347826087;1
Toronto;1888.0;70.2;58.2;0.8290598290598291;3
Vienna;1780.0;78.0;51.3;0.6576923076923077;2
Zurich;1868.0;100.0;100.0;1.0;3
