City;Work;Price;Salary;Affordability;lat;lon
Amsterdam;1714.0;65.6;49.0;0.7469512195121952;52.3730796;4.8924534
Athens;1792.0;53.8;30.4;0.5650557620817844;33.9597677;-83.376398
Bogota;2152.0;37.9;11.5;0.3034300791556728;4.6533817;-74.0836331
Bombay;2052.0;30.3;5.3;0.1749174917491749;19.054999;72.8692035
Brussels;1708.0;73.8;50.5;0.6842818428184282;50.8465573;4.351697
Buenos_Aires;1971.0;56.1;12.5;0.22281639928698752;-34.6095579;-58.3887904
Caracas;2041.0;61.0;10.9;0.17868852459016393;10.5060934;-66.9146008
Chicago;1924.0;73.9;61.9;0.8376184032476318;41.8755616;-87.6244212
Copenhagen;1717.0;91.3;62.9;0.6889375684556408;55.6867243;12.5700724
Dublin;1759.0;76.0;41.4;0.5447368421052632;53.3493795;-6.2605593
Dusseldorf;1693.0;78.5;60.2;0.7668789808917198;51.2254018;6.7763137
Frankfurt;1650.0;74.5;60.4;0.810738255033557;50.1106444;8.6820917
Geneva;1880.0;95.9;90.3;0.9416058394160584;46.2017559;6.1466014
Helsinki;1667.0;113.6;66.6;0.5862676056338028;60.1698897;24.9384719
Hong_Kong;2375.0;63.8;27.8;0.4357366771159875;22.350627;114.1849161
Houston;1978.0;71.9;46.3;0.6439499304589708;29.7589382;-95.3676974
Johannesburg;1945.0;51.1;24.0;0.46966731898238745;-26.205;28.049722
Kuala_Lumpur;2167.0;43.5;9.9;0.22758620689655173;3.1526589;101.7022205
Lagos;1786.0;45.2;2.7;0.059734513274336286;6.4550575;3.3941795
Lisbon;1742.0;56.2;18.8;0.33451957295373663;38.7077507;-9.1365919
London;1737.0;84.2;46.2;0.5486935866983373;51.5074456;-0.1277653
Los_Angeles;2068.0;79.8;65.2;0.8170426065162908;34.0536909;-118.242766
Luxembourg;1768.0;71.1;71.1;1.0;49.8158683;6.1296751
Madrid;1710.0;93.8;50.0;0.5330490405117271;40.416782;-3.703507
Manila;2268.0;40.0;4.0;0.1;14.5904492;120.9803621
Mexico_City;1944.0;49.8;5.7;0.11445783132530121;19.3207722;-99.1514678
Milan;1773.0;82.0;53.3;0.6499999999999999;45.4641943;9.1896346
Montreal;1827.0;72.7;56.3;0.7744154057771664;45.5031824;-73.5698065
Nairobi;1958.0;45.0;5.8;0.1288888888888889;-1.3026148;36.828842
New_York;1942.0;83.3;65.8;0.7899159663865546;40.7127281;-74.0060152
Nicosia;1825.0;47.9;28.3;0.5908141962421712;35.2116524;33.3311878
Oslo;1583.0;115.5;63.7;0.5515151515151515;59.9133301;10.7389701
Panama;2078.0;49.2;13.8;0.28048780487804875;8.559559;-81.1308434
Paris;1744.0;81.6;45.9;0.5625;48.8534951;2.3483915
Rio_de_Janeiro;1749.0;46.3;10.5;0.2267818574514039;-22.9110137;-43.2093727
San_Paulo;1856.0;48.9;11.1;0.22699386503067484;-23.5506507;-46.6333824
Seoul;1842.0;58.3;32.7;0.5608919382504289;37.5666791;126.9782914
Stockholm;1805.0;111.3;39.2;0.35220125786163525;59.3251172;18.0710935
Sydney;1668.0;70.8;52.1;0.7358757062146893;-33.8698439;151.2082848
Taipei;2145.0;84.3;34.5;0.4092526690391459;25.0375198;121.5636796
Tel_Aviv;2015.0;67.3;27.0;0.4011887072808321;32.0852997;34.7818064
Tokyo;1880.0;115.0;68.0;0.591304347826087;35.6768601;139.7638947
Toronto;1888.0;70.2;58.2;0.8290598290598291;43.6534817;-79.3839347
Vienna;1780.0;78.0;51.3;0.6576923076923077;48.2083537;16.3725042
Zurich;1868.0;100.0;100.0;1.0;47.3744489;8.5410422
